onset	duration	trial_type	value	sample
1376.541	0.0	ROWE	10	1376541
1376.597	0.0	ROWS	11	1376597
1380.725	0.0	ROWE	10	1380725
1380.792	0.0	ROWS	11	1380792
1385.175	0.0	ROWE	10	1385175
1385.244	0.0	ROWS	11	1385244
1389.075	0.0	ROWE	10	1389075
1389.142	0.0	ROWS	11	1389142
1393.408	0.0	ROWE	10	1393408
1393.473	0.0	ROWS	11	1393473
1397.741	0.0	ROWE	10	1397741
1397.806	0.0	ROWS	11	1397806
1401.208	0.0	ROWE	10	1401208
1401.269	0.0	ROWS	11	1401269
1405.391	0.0	ROWE	10	1405391
1405.452	0.0	ROWS	11	1405452
1408.857	0.0	ROWE	10	1408857
1408.918	0.0	ROWS	11	1408918
1413.024	0.0	ROWE	10	1413024
1413.086	0.0	ROWS	11	1413086
1417.191	0.0	ROWE	10	1417191
1417.254	0.0	ROWS	11	1417254
1420.224	0.0	ROWE	10	1420224
1420.285	0.0	ROWS	11	1420285
1424.408	0.0	ROWE	10	1424408
1424.472	0.0	ROWS	11	1424472
1428.741	0.0	ROWE	10	1428741
1428.926	0.0	ROWS	11	1428926
1432.324	0.0	ROWE	10	1432324
1432.391	0.0	ROWS	11	1432391
1436.657	0.0	ROWE	10	1436657
1436.702	0.0	ROWS	11	1436702
1440.656	0.0	ROWE	10	1440656
1440.704	0.0	ROWS	11	1440704
1441.057	0.0	ROWE	10	1441057
1441.104	0.0	ROWS	11	1441104
1445.057	0.0	ROWE	10	1445057
1445.12	0.0	ROWS	11	1445120
1449.39	0.0	ROWE	10	1449390
1449.452	0.0	ROWS	11	1449452
1453.406	0.0	ROWE	10	1453406
1453.47	0.0	ROWS	11	1453470
1457.74	0.0	ROWE	10	1457740
1457.802	0.0	ROWS	11	1457802
1462.072	0.0	ROWE	10	1462072
1462.138	0.0	ROWS	11	1462138
1466.406	0.0	ROWE	10	1466406
1466.47	0.0	ROWS	11	1466470
1470.856	0.0	ROWE	10	1470856
1470.904	0.0	ROWS	11	1470904
1474.855	0.0	ROWE	10	1474855
1474.901	0.0	ROWS	11	1474901
1475.655	0.0	ROWE	10	1475655
1475.696	0.0	ROWS	11	1475696
1479.655	0.0	ROWE	10	1479655
1479.71	0.0	ROWS	11	1479710
1481.738	0.0	ROWE	10	1481738
1481.792	0.0	ROWS	11	1481792
1485.906	0.0	ROWE	10	1485906
1485.968	0.0	ROWS	11	1485968
1490.239	0.0	ROWE	10	1490239
1490.306	0.0	ROWS	11	1490306
1494.689	0.0	ROWE	10	1494689
1494.756	0.0	ROWS	11	1494756
1499.005	0.0	ROWE	10	1499005
1499.069	0.0	ROWS	11	1499069
1503.205	0.0	ROWE	10	1503205
1503.271	0.0	ROWS	11	1503271
1506.555	0.0	ROWE	10	1506555
1506.617	0.0	ROWS	11	1506617
1510.722	0.0	ROWE	10	1510722
1510.776	0.0	ROWS	11	1510776
1515.005	0.0	ROWE	10	1515005
1515.06	0.0	ROWS	11	1515060
1517.088	0.0	ROWE	10	1517088
1517.146	0.0	ROWS	11	1517146
1521.254	0.0	ROWE	10	1521254
1521.311	0.0	ROWS	11	1521311
1525.421	0.0	ROWE	10	1525421
1525.479	0.0	ROWS	11	1525479
1527.504	0.0	ROWE	10	1527504
1527.564	0.0	ROWS	11	1527564
1531.671	0.0	ROWE	10	1531671
1531.736	0.0	ROWS	11	1531736
1536.005	0.0	ROWE	10	1536005
1536.067	0.0	ROWS	11	1536067
1540.021	0.0	ROWE	10	1540021
1540.087	0.0	ROWS	11	1540087
1544.354	0.0	ROWE	10	1544354
1544.421	0.0	ROWS	11	1544421
1548.687	0.0	ROWE	10	1548687
1548.755	0.0	ROWS	11	1548755
1553.02	0.0	ROWE	10	1553020
1553.087	0.0	ROWS	11	1553087
1557.471	0.0	ROWE	10	1557471
1557.538	0.0	ROWS	11	1557538
1561.804	0.0	ROWE	10	1561804
1561.874	0.0	ROWS	11	1561874
1566.136	0.0	ROWE	10	1566136
1566.205	0.0	ROWS	11	1566205
1570.47	0.0	ROWE	10	1570470
1570.518	0.0	ROWS	11	1570518
1574.603	0.0	ROWE	10	1574603
1574.65	0.0	ROWS	11	1574650
1575.003	0.0	ROWE	10	1575003
1575.05	0.0	ROWS	11	1575050
1579.003	0.0	ROWE	10	1579003
1579.072	0.0	ROWS	11	1579072
1583.336	0.0	ROWE	10	1583336
1583.404	0.0	ROWS	11	1583404
1587.686	0.0	ROWE	10	1587686
1587.753	0.0	ROWS	11	1587753
1592.019	0.0	ROWE	10	1592019
1592.076	0.0	ROWS	11	1592076
1596.185	0.0	ROWE	10	1596185
1596.237	0.0	ROWS	11	1596237
1599.119	0.0	ROWE	10	1599119
1599.15	0.0	ROWS	11	1599150
1601.419	0.0	ROWE	10	1601419
1605.388	0.0	EYEE	7	1605388
